id,customer_msg,brand_reply_ref,suggested_intent,intent,should_escalate,escalation_reason,notes
gs_030,are there any changes or issues with payment service? My method keeps being rejected. It worked perfectly fine a week ago.,Thanks for reaching out. There hasn't been any changes. We recommend the steps here: Keep us posted.,payment_and_billing,payment_and_billing,no,,
gs_031,"Yes, the storage does match",Have you had a chance to update to iOS 11.0.2? Let's dig into this deeper over DM:,app_and_store_issue,device_performance,no,,
gs_032,iOS 11.1 it’s draining my battery!,We want to help. Have you tried our steps here?,battery_issue,battery_issue,no,,
gs_033,The new iOS 11(11.0.2) is proving to be buggy. My music notification freezes. Most important: 4G to 3G switching freezes,Thanks for reaching out to us! Which device are you experiencing this on? Reply in DM so we can get this resolved.,software_bug,software_bug,no,,
gs_034,"why does my iPhone say ""no service""? I've tried taking my sim out, updating my phone etc. Nothings working??",We'd be happy to assist you with this issue. Please reach out to us via DM and we'll get started.,connectivity_issue,connectivity_issue,no,,
gs_035,I deleted ALL photos from my iMac in Photos. All my other devices still have all the photos.,Is iCloud Photo Library enabled on your iMac? Check in System Preferences > iCloud and click “Options” next to Photos.,data_and_privacy,data_and_privacy,no,,
gs_036,Dear I can turn my own Bluetooth&wifi on/off.. and please give me back my ringer volume buttons. K thanks,"Happy to help, head to Settings > Sounds & Haptics and make sure that ""Change with Buttons"" is turned on.",connectivity_issue,connectivity_issue,no,,
gs_037,Already been told that nothing can be done cos I bought it via my design agency even though I have a receipt Your U.K. MD has avoided me.,We'd like to see if we can be of help. Would you mind joining us in DM? We'd like to continue our conversation there.,feedback_and_complaint,feedback_and_complaint,yes,Complaint concerns Apple management and an unresolved service dispute.,
gs_038,fix this crashing shit plssssss,We'd like to hear more. What type of device are we working with? What happens when things crash? You can reach us in DM at the link below.,device_performance,device_performance,no,,
gs_039,Ok but is there anything you can fix about ios11 that WONT MAKE MY PHONE DIE QUICKER it’s a struggle keeping it charged as it is,We'd like to look into this with you. Please DM us your current iOS version and we'll go from there.,payment_and_billing,battery_issue,no,,
gs_040,battery is draining at an alarming rate. Can you please help,Thanks for reaching out to us for support. Can you please tell us which version of iOS you are currently running?,battery_issue,battery_issue,no,,
gs_041,"Yes, restart had no effect. Even on other devices with same Apple ID I can‘t hide the purchased apps.",Got it. Please take a look at the following article and let us know if this helps:,account_and_password,app_and_store_issue,no,,
gs_042,"my phone turned off and wont turn on, it just gets burning hot when i plug it in and i didnt break it its clearly a software malfunction",Thanks for reaching out. We're here to help. DM us so we can look into this further with you.,product_and_feature_question,battery_issue,no,,
gs_043,i was playing candy crush and it said something about making a purchase. How do I know if I’ve mistakenly placed an order?,"That's a great question! If a purchase was made, you would receive an email notification within a couple of days. You can also reach out to our iTunes Store Department as well. Their contact details can be found here:",payment_and_billing,payment_and_billing,no,,
gs_044,How do I update my shipping address for my iPhone X order?,That's an excellent question. We have a great Sales Support team who can assist you with this:,order_and_delivery,order_and_delivery,no,,
gs_045,"ever since updating to ios11 my phone is glitching, freezing, not making calls, etc. is there any way to go back to ios10?",Let's work on this together. We can assist with the iOS 11 software. DM us which model iPhone you are using.,device_performance,software_bug,no,,
gs_046,hey how come my playlist isn’t playing. I updated my payment and everything,"We know listening to your music is important. Meet us in DM, tell us which country you're in, and some details about when this issue began. We'll go from there.",payment_and_billing,app_and_store_issue,no,,
gs_047,"hi, I’m a subscriber on Apple Music but it says I’m not a member and I’ve tried to reactivate it for 4 times now but wont work",We’re investigating and will update our System Status page as more info becomes available:,app_and_store_issue,app_and_store_issue,no,,
gs_048,I can’t send WhatsApp messages from my locked screen on my iPhones... I guess this is one more problem of iOS11,We'd like to look into this with you. Are you able to respond to other app notifications from the Lock screen?,hardware_and_accessories,software_bug,no,,
gs_049,My clock & date on lock screen keeps disappearing and I can’t view notifications when phone is locked/unlocked...I’ve gone to support pages and emailed tech support....nada...restarting phone helps temporarily and then back to nothing...,Let's look into this further. Meet us in DM with your current device type and iOS version installed to continue.,device_performance,software_bug,no,,
gs_050,"Just can't pre-order iPhone X from any stores in Japan. I've tried everyday 6 am since 11/4. Is there something wrong w/z ur system? When it's time to select the pickup time, it tells me that there's no more X in this store.",We're happy to point you in the right direction. Reach out to our Sales Team here:,order_and_delivery,order_and_delivery,no,,
gs_051,I bought my iPhone 8 plus on 29th Sep n am already regretting. Bluetooth n wifi connectivity is terrible. Even wid iOS 11.0.2.,Let's help you with your new iPhone 8 Plus. We want it working as expected for you. Provide us more details in DM below.,connectivity_issue,connectivity_issue,no,,
gs_052,after updating to iOS 11.1 no service on my iPhone 7 Plus,We'd be happy to help. Check out this link for a few steps that may be useful:,software_bug,connectivity_issue,no,,
gs_053,"Hey I’m never going to set up Apple Pay, now take the notification icon off my Settings app before my OCD kills me.",Thanks for reaching out. We certainly understand not wanting to be reminded about a feature you don't intend to use. You can tap Settings > Notifications to modify or disable notifications for Wallet. Let us know if that helps!,app_and_store_issue,app_and_store_issue,no,,
gs_054,my IPhone charger that I’ve been using for months just randomly started smoking/melting on the train and burnt my hand!?!😧😭,Thanks for reaching out. DM the country or region where you are currently located to get started.,product_and_feature_question,hardware_and_accessories,yes,"Smoking/melting charger caused a burn, creating a device-safety risk.",
gs_055,"Dear why does my OS almost restart every time it goes to sleep? It’s slowing me down, and annoying.",We can certainly take a look. DM us the device model and OS version to continue.,product_and_feature_question,software_bug,no,,
gs_056,It launches with the white preload screen then exits out and goes back to home screen. Tried restarting phone already,Understood. Send us a DM with which iPhone you are using and which version of iOS it is running. We'll continue there.,hardware_and_accessories,app_and_store_issue,no,,
gs_057,Who can I complain to about the removal of the App Store from iTunes? I choose Apple over for the apps & podcasts. 1/,We'd love to hear your feedback over at Let us know if you have any questions.,app_and_store_issue,app_and_store_issue,no,,
gs_058,can I ask about a rather dodgy txt I’ve had about my Apple ID about to expire,"Absolutely! Meet up with us in DM with some details, and we'll be glad to work with you on this.",account_and_password,account_and_password,no,,
gs_059,Hasn’t charged past 24% for 3 days. Tried different outlets/cables. Plugged in again a while ago and now charge is up tp 44%. Strange!,We're glad to hear that. Please keep us updated.,payment_and_billing,battery_issue,no,,
gs_060,I got an email says I made a purchase I did not do. I got a pdf,We can help you. That message you received may be a phishing email. Check out our article to help you recognize and avoid those emails: DM us if you have any questions.,payment_and_billing,payment_and_billing,yes,Customer reports an unauthorized purchase.,
gs_061,"I was doing it all through the phone, no iTunes or computers were involved. So the second situation, it couldn’t find the iCloud backup","Since you've set up your device again, has it asked you to sign into your iCloud account? Does any of your content seem to be back on the iPhone?",account_and_password,data_and_privacy,no,,
gs_062,Defect found in the first iPhoneX here. Screen on the left hand side is popping out. You can see the difference between both sides.,We'd like to help get its screen working right. Let's review your options together in DM here:,hardware_and_accessories,hardware_and_accessories,yes,"Screen is separating from the device, creating a physical-safety risk.",
gs_063,. poor quality glass on back of iPhone 8 - dropped on laminate flooring and smashed. Had an iPhone since iPhone 3G and it’s never smashed,Let’s team up to look into your options. Could you let us know more details via a DM? We’ll keep moving from there.,feedback_and_complaint,hardware_and_accessories,yes,Physical device damage requires human support review.,
gs_064,Disappointed! website provides an option to reserve phone am.ive been waking up everyday but the option gets diabled in <2 min :((((,"Hey there, try reaching out to our Online Sales team here for assistance:",feedback_and_complaint,order_and_delivery,no,,
gs_065,Worst customer service experience of my life. Can't believe such terrible service from Apple. Used to hold them in high regard.,That's not the experience we want you to have as a valued Apple customer. Join us in DM so we can look into this for you:,feedback_and_complaint,feedback_and_complaint,no,,
gs_066,So I️ do have 280 characters but the damn glitch isn’t fixed yet so my tweet looks stupid,We'd like to hear more about the issue you're running into when tweeting. Please also let us know which device we're using.,software_bug,software_bug,no,,
gs_067,"Thank you. That's how I did the change over, but still seem to have lost the data.",Do you have access to the previous iPhone? Did you use iCloud or iTunes to restore the new iPhone X?,data_and_privacy,data_and_privacy,no,,
gs_068,My iPhone is less than a week old and it's already frozen and unresponsive. 🙂,We can assist you. Please provide us with your device model via DM with the following link and we'll help you further from there.,device_performance,device_performance,no,,
gs_069,currently on my iPhone every hour sometimes more often a notice pops up saying iMessages will be charged at the rate set by the provider and has either cancel or ok as the buttons. I’ve clicked ok even updated the phone but it happens yet again and frequently,"We'd like to help with iMessage. Do you know what version of the iOS is on the device? If not, you can check under Settings > General > About > Version.",payment_and_billing,app_and_store_issue,no,,
gs_070,excuse me why does my music app keep freezing fix your shit thxs,We'd love a chance to review this concern with you. Could you let us know which iOS version is showing in Settings > General > About?,device_performance,app_and_store_issue,no,,
gs_071,"Same here, diff. is my phone is just an iphone 6. Apps like facebook does not load data, all is just white. Uninstalling a app takes ~10 sec. before the animation starts. IOS10 did not have these issues.",We can help. Are you having issues with other apps showing up blank as well? DM us your answer to continue.,app_and_store_issue,app_and_store_issue,no,,
gs_072,whatever the latest update of iOS did it needs to be fixed Ive had to charge my phone 3x in 1 day with same usuage as usual,We'd like to help! Send us a DM with the country that you are located in and we will continue from there.,software_bug,battery_issue,no,,
gs_073,"So my phone died and it's been charging for 20, it won't turn back on. What do I dooooooo",We can help with the iPhone powering on. What model of iPhone is it?,battery_issue,battery_issue,no,,
gs_074,Can you clarify what this means? Received in email after confirming reservation for iPhone X under FAQs,"Thanks for reaching out to us. Please send us a DM with your country, and we'll look into this.",order_and_delivery,order_and_delivery,no,,
gs_075,who the fuck told to start fucking with the wifi settings. doing tooooooo much now i can’t connect to my wifi 😒😒😒😒,Being able to connect to your Wi-Fi is a important feature. What specific issues are you having? Let us know the Apple product and iOS version you are using too?,connectivity_issue,connectivity_issue,no,,
gs_076,I talked to customer service they said they’d refund me got off phone they didn’t,Thanks for providing that for us. Can you provide us more details of when you spoke to our support team?,payment_and_billing,payment_and_billing,yes,"Promised refund was not received, requiring billing review.",
gs_077,"My iPhone is frozen when I wanna unlock it and there's a notification stuck at the top of my screen, I can use siri tho. Help?","We'd like some details to help. Which iPhone model does this occur on? Also, since this began have you attempted a normal restart of your device? Let us know and we'll take it from there.",device_performance,device_performance,no,,
gs_078,Yesterday and it brings the loading icon and tells me that I have to enter my passcode after restarting the phone,Correct. If you turned on a passcode you would need to enter it when the device is restarted. Are you trying to remove it?,device_performance,account_and_password,no,,
gs_079,my iPhone has been stuck on this for ages now. Any idea why it’s not updating,We're happy to help. Which iPhone are you using? Thanks.,device_performance,software_bug,no,,
gs_080,Bluetooth stability problems galore. 11.0.3 never had issues on iOS 10.,We'd like to hear more about this. Does the issue occur with multiple Bluetooth devices? Which iOS device are you using?,software_bug,connectivity_issue,no,,
gs_081,"Can’t wait till August to leave 2 months 3 updates and still can’t open apps, resetting 3 times a day can’t make call, turns itself off, no battery life. £50 a month for what!?",We don't like to hear your iPhone is struggling and we'll be happy to help look into this. Let's chat over in Direct Message.,battery_issue,software_bug,yes,Multiple unresolved failures and repeated resets indicate extreme frustration.,
gs_082,I’m fairly sure it’s not user error. I literally have to go into my settings & manually connect to my wi-fi every time I wake my phone.,Having to turn it on in Settings every time you unlock isn't expected. What is the exact iOS version you're on?,connectivity_issue,connectivity_issue,no,,
gs_083,not happy how I was misled in using the App Store app to upgrade my iPhone,Thanks for reaching out. We've received your DM and will continue to work with you there.,app_and_store_issue,app_and_store_issue,no,,
gs_084,I’m facing an issue on calendar. When I try to see next month on event mode it doesn’t show calendar anymore. Btw I’ve 11.0.3,Let’s work together to figure it out. Which device are you using? Do you use iCloud? Let us know in DM.,product_and_feature_question,software_bug,no,,
gs_085,I tried both WiFi and cellular,Is it possible to try downloading another song or album to see if the issue continues?,connectivity_issue,app_and_store_issue,no,,
gs_086,Thanks a lot for the 11.0.3 up date it just deleted half of my photos,That's unexpected. We want to help. Send us a DM letting us know more about what happened.,data_and_privacy,data_and_privacy,no,,
gs_087,"I have to carry a charger around 24/7 because of how terrible my battery is, Y","We're glad to help with your battery life. We've got a great resource to share with you that has information all about the lithium-ion battery technology in your iPhone, including steps to help optimize performance. Let us know how this helps:",battery_issue,battery_issue,no,,
gs_088,can you help me? iTunes charged me $ for something I didn't buy.,Let's get you pointed in the right direction! Our iTunes support team can assist at:,payment_and_billing,payment_and_billing,yes,Customer reports an unauthorized iTunes charge.,
gs_089,"MY PHONE JUST DELETED ALL OF MY PICTURES AND IM SO FUCKING PISSED FIX THIS FUCKING SHIT, IVE LOST 3000 THINGS","We know just how important your photos are, so let's team up and see how we can get this resolved. Meet up with us in DM, and we'll take a look at this together.",data_and_privacy,data_and_privacy,yes,Customer reports permanent loss of thousands of photos.,
gs_090,Atall and although I'm given a option to reset my password on iMessage every time I make a new one it won't accept my old or new ☹️,Thanks for confirming. Have you changed the password you use to get into your Mac recently?,account_and_password,account_and_password,no,,
gs_091,"Hi, how can I disagree with the new iCloud terms and services? Keeps popping up every 4 seconds and cannot use phone right now because of it.",Let's look into this for you. Send us a DM with a screenshot of the popup and we can check on few options for you.,account_and_password,account_and_password,no,,
gs_092,Mac user since the 90s here. Slowly but steadily over the last five years I have been seeing more and more random shit like this on my Macs. This was seen when dragging an external disk into System Preferences -> Spotlight -> Privacy.,Thanks for reaching out. DM which Mac and specific OS version you are using to get started.,data_and_privacy,software_bug,no,,
gs_093,Tired of Y'all literally design your phones to fail when a new one comes out and it's obvious. I'm not paying $1000 for that damn iPhoneScam so either make my stuff work right or RUN ME MY MONEY!!! Damn,"If you're having issues with your iPhone, go ahead and DM us more details about what you're specifically experiencing.",feedback_and_complaint,feedback_and_complaint,no,,
gs_094,can we just fix this I️ thing already?,We'd like to help get you typing correctly again. What's your device model and which OS version is installed? Tried any steps so far?,product_and_feature_question,software_bug,no,,
gs_095,"This is unacceptable as I have to travel out of my, paying for petrol, time off work etc. I want something done about this.","We've got your DM, and will continue with you there. Be on the lookout for our reply. Thank you!",feedback_and_complaint,feedback_and_complaint,no,,
gs_096,"PT1. I pre-approved my iPhone X then ordered it at 301 am, your database is shipping the phone to a fake address due to a typo",Thanks for reaching out. Let's get you in touch with an Apple Online Store Advisor at:,order_and_delivery,order_and_delivery,no,,
gs_097,whyyy have my messages been coming in delayed the past like 3 days 🤦🏽‍♀️,We'd like to look into this with you. How delayed are the messages?,data_and_privacy,app_and_store_issue,no,,
gs_098,Dear please fix this shit update bug! I have to turn my phone off & on to get it back normal. 🙄,"You've come to the right place for help. To begin, can you tell us what iOS version you're currently using?",software_bug,software_bug,no,,
gs_099,Music coming from AirPods but I don’t know from where especially since the volume is down/off 🤔,We'd like to look into what you're seeing a bit more. Could you join us in DM with more info?,hardware_and_accessories,hardware_and_accessories,no,,
gs_100,"We need a chat - HUGE complaint to make about your staff in store- attitude, manners and TERRIBLE customer service. Get in touch",We'll happily help look into this. Reach out to us in DM & tell us more about what's going on.,feedback_and_complaint,feedback_and_complaint,yes,Complaint concerns named Apple Store staff/service.,
gs_101,Can't download app - App Store asks for password then phone gives me a verification code but nowhere to enter it on iPad.,We’re glad you reached out! Let’s dig a little deeper into this to see what we can find out. DM us your iOS version to proceed.,app_and_store_issue,app_and_store_issue,no,,
gs_102,Not entirely satisfied with my experience from the Genius Bar today. I'd expect more considering the price of the products.,"Thank you for reaching out. We want to know more about your experience. Please DM us, and we will continue from there.",order_and_delivery,feedback_and_complaint,yes,Complaint concerns a Genius Bar service experience.,
gs_103,ios11 latest. After every app auto-update I have to reboot my phone or else no app will open anymore. Am I holding it wrong?,We're happy to assist. Which iOS version are you currently running? Go to Settings > General > About for the version. DM us.,app_and_store_issue,software_bug,no,,
gs_104,Any know issues with connecting to WiFi? Having trouble. Already phoned in a few days ago; worked and now it doesn’t.,We want to help. Which iOS version is your device currently running? You can check this through Settings > General > About.,connectivity_issue,connectivity_issue,no,,
gs_105,fix my phone. I can’t use my back camera or the flashlight. Shit I’m trying to send my boo a thothy pic,We'd love to help with your iPhone's camera. Let us know if the steps in this guide make a difference:,hardware_and_accessories,hardware_and_accessories,no,,
gs_106,"It happens regularly, regardless of the app. I have 88 GB unused.",Does this issue continue to happen if you disable Reachability under Settings > General > Accessibility? Let us know in DM.,app_and_store_issue,app_and_store_issue,no,,
gs_107,The fix? Open the lid a bit to trigger the MacBook screen to turn on and the problem goes away. wtf,"Let's look into this closer together. To start, can you DM us which software version you're currently using?",hardware_and_accessories,hardware_and_accessories,no,,
gs_108,"Went to Genius Bar with a working phone, left with a brick that doesnt even turn on after they touched it. No explanation :(",We want to be sure you can use your iPhone as you'd expect. Send us a DM and we'll look into this further with you.,order_and_delivery,feedback_and_complaint,yes,Customer reports leaving a Genius Bar visit with a nonfunctional device.,
gs_109,"upgraded via Iphone Upgrade program, had phones shipped on 9/26 but got charged for old phones on 9/22, any way to get refund?",Reach out to our Apple Online Store team via the following link to help look in to this:,payment_and_billing,payment_and_billing,yes,Unexpected charges and a refund request require billing review.,
gs_110,when are you guys going to stop using such shit batteries iv had this red iphone for less then a year and it’s already dying fast as shit and getting super hot when i charge it.,"Great battery life from your iPhone is important, and we want to get to the bottom of what's happening here. Could you join us in DM with more info on what you're seeing?",battery_issue,battery_issue,yes,"Phone becomes very hot while charging, creating a safety risk.",
gs_111,"When I switch off my wifi from control centre, it still remains on. Every time I have to go to the settings and turn it off. iOS11 6s",Thanks for reaching out. That is expected behavior for iOS 11. Turning off Wi-Fi from Control Center just disconnects the device from the current Wi-Fi network but leaves Wi-Fi on so you can quickly access it when needed.,connectivity_issue,connectivity_issue,no,,
gs_112,my phone is a mess since the iOS 11 updates. 🙄The “bug fixes” have fixed very little.,Thanks for reaching out. We want you to be able to enjoy using your device and are here to help. Meet us in DM and we will proceed.,software_bug,software_bug,no,,
gs_113,"Ordered IphoneX at 2:01am via AUP, woke up to cannot process order email. Resubmitted at 8am, order accepted? Explanation?",Thanks for reaching out. Our Online Store team is best suited to assist you. You can reach them here:,order_and_delivery,order_and_delivery,no,,
gs_114,worst support ever. Expected more from apple EpicFail,We'd like to know more about the issue you're experiencing. Please join us in DM with additional details to get started:,feedback_and_complaint,feedback_and_complaint,no,,
gs_115,wifi gets enabled automatically after upgrading to 11.0.3 on iPhone 6.,"We'd like to hear more about this. When this happens, how are you turning Wi-Fi off?",connectivity_issue,connectivity_issue,no,,
gs_116,"Hello . Without my permission, apple store updated an application for a fee and it withdrawed money from our credit card. I want my victim removed. I want you to stop my unjust treatment.",Thanks for reaching out. We'd love to assist you and research this further for you today. We understand the concern you are having. Meet up with us in DM at the link below and let us know if you have this app installed on your device.,payment_and_billing,payment_and_billing,yes,Customer reports an unauthorized credit-card charge.,
gs_117,My iPhone so slow it won’t even load a 3 second video 😑,We want you to be able to watch any videos you want. Which iPhone and iOS version are you using?,device_performance,device_performance,no,,
gs_118,can someone contact me regarding my iphone X order? I have my email but I need some questions answered. I can't get through.,Please reach out to our Apple Online Store Support team for assistance. You can reach them here:,order_and_delivery,order_and_delivery,no,,
gs_119,Calling has got to be the worst thing I’ve ever had to do in my life! Reading off a script in that call centre for sure! 😩😩,We'd like to hear about your experience. Send us a DM with more details and we can talk to you there.,feedback_and_complaint,feedback_and_complaint,no,,
gs_120,", Hey I have updated my IPhone 6s to iOS 11.1.2 and its drains my battery like crazy.... please help",Thanks for reaching out. We'd like some additional details to assist. Send us a Direct Message using the link below and we'll take it from there.,software_bug,battery_issue,no,,
gs_121,If my phone force closes an app one more fucking time I’m sending all this shit back and getting a Galaxy. Quit playing with me,We want to be sure you can use your apps as you'd expect. Let us know if this helps you:,app_and_store_issue,app_and_store_issue,yes,Repeated app failures with strong frustration warrant human review.,
gs_122,"I don't have a Time Machine backup, I'm making one now before everything is gone.",We always recommend that you make a backup of your devices regularly. This article will guide you through backing up with Time Machine if needed:,data_and_privacy,data_and_privacy,no,,
gs_123,"Apps weren't a problem, System update was. I was able to download & install the system update via iTunes just after I sent the tweet.","Got it. Thanks for clarifying! We're glad that it's all worked out. If you need anything else, just let us know. Have a great day.",software_bug,software_bug,no,,
gs_124,My brand new iPhone has quit working. I a livid! I will not be purchasing another. 😓😢😠,That's not good! Let us know what's going on with your new iPhone. We want to help you today.,product_and_feature_question,hardware_and_accessories,no,,
gs_125,"For a company that touts Ease of Use and great experiences, sure makes it hard to get a Genius Bar appointment.",We'd love to help you make an appointment if still needed. Meet us in DM with more information to get started.,order_and_delivery,order_and_delivery,no,,
gs_126,"Hi I have 6S plus, tried all the normal stuff and reset phone still same issue all started when I updated iOS",We recommend taking these steps next and let us know what you find out once you test a voice memo:,software_bug,software_bug,no,,
gs_127,‘s most recent attack on my phone? No more WiFi or Bluetooth :) ! Thanks guys i literally already bought my new phone u don’t have to keep playing these games you won already pls let me use grindr again,"We are here to help. Please DM us with your current iOS version, and we will continue from there.",connectivity_issue,connectivity_issue,no,,
gs_128,I am trying to set up my X from iCloud backup.. all my apps are saying either loading or waiting but not doing anything. Help?,"We know that you're excited to have your new iPhone X, and we'd like to help make this a pleasant experience. DM us the iOS version.",account_and_password,app_and_store_issue,no,,
gs_129,"New Message box never opens,,, it just goes to inbox / deck of messages and this is happening to most of known friends also!",Let's begin by restarting the iPhone. DM us with the results. Restart your iPhone:,data_and_privacy,software_bug,no,,
gs_130,Hey i need to permanently delete my iCloud account and i can't do this. Help me please.,"You've got it. In order to receive assistance with this, reach out to our Apple ID experts team here:",account_and_password,account_and_password,no,,
gs_131,The dialogue box goes up in between the screen. Dunno y🙈🙈 Plz help to get this fixed.,Thanks for reaching out. We're here to help. DM us so we can look into this further with you.,hardware_and_accessories,software_bug,no,,
gs_132,4th day of Safari not working on my macbookair 😡😡😡 AppleSucks,"Having full use of the apps on your Mac is important, and we'd like to help you. Send us a DM to get started.",app_and_store_issue,software_bug,yes,Safari has been unavailable for four days with strong frustration.,
gs_133,apple is this legit or is it just someone down the like wanting to make money of me from getting the app?,"You may disregard this, as it is not from us here at Apple.",app_and_store_issue,app_and_store_issue,no,,
gs_134,don’t punish the people who can’t afford a iPhone X... fix it please. Thanks..,Here’s what you can do to work around the issue until it’s fixed in a future software update:,product_and_feature_question,feedback_and_complaint,no,,
